group,b,N,batch,factor_idx,log_n,time_ms
single_factor,2,1024,32,7,9,0.12840959548950195
single_factor,2,1024,32,8,9,0.12797951698303223
single_factor,2,1024,64,0,9,0.10692607879638671
single_factor,2,1024,64,1,9,0.12725248336791992
single_factor,2,1024,64,2,9,0.1276518440246582
single_factor,2,1024,64,3,9,0.12856320381164552
single_factor,2,1024,64,4,9,0.12891136169433592
single_factor,2,1024,64,5,9,0.12775424003601074
single_factor,2,1024,64,6,9,0.12807168006896974
single_factor,2,1024,64,7,9,0.1277235221862793
single_factor,2,1024,64,8,9,0.1274777603149414
single_factor,2,1024,128,0,9,0.10563584327697755
single_factor,2,1024,128,1,9,0.12823552131652832
single_factor,2,1024,128,2,9,0.12852224349975586
single_factor,2,1024,128,3,9,0.12906496047973634
single_factor,2,1024,128,4,9,0.128471040725708
single_factor,2,1024,128,5,9,0.12835840225219727
single_factor,2,1024,128,6,9,0.12851200103759766
single_factor,2,1024,128,7,9,0.1283276844024658
single_factor,2,1024,128,8,9,0.12817407608032227
single_factor,2,1024,256,0,9,0.10598400115966797
single_factor,2,1024,256,1,9,0.12905471801757812
single_factor,2,1024,256,2,9,0.12865535736083986
single_factor,2,1024,256,3,9,0.12852224349975586
single_factor,2,1024,256,4,9,0.128788480758667
single_factor,2,1024,256,5,9,0.12841983795166015
single_factor,2,1024,256,6,9,0.12907520294189453
single_factor,2,1024,256,7,9,0.12876799583435058
single_factor,2,1024,256,8,9,0.12914688110351563
single_factor,2,1024,512,0,9,0.1064243221282959
single_factor,2,1024,512,1,9,0.12956671714782714
single_factor,2,1024,512,2,9,0.1297817611694336
single_factor,2,1024,512,3,9,0.12957695960998536
single_factor,2,1024,512,4,9,0.12930047988891602
single_factor,2,1024,512,5,9,0.12904447555541992
single_factor,2,1024,512,6,9,0.12965888023376465
single_factor,2,1024,512,7,9,0.1293619155883789
single_factor,2,1024,512,8,9,0.12957695960998536
single_factor,2,1024,1024,0,9,0.10776576042175293
single_factor,2,1024,1024,1,9,0.1303859233856201
single_factor,2,1024,1024,2,9,0.17760255813598633
single_factor,2,1024,1024,3,9,0.24173568725585937
single_factor,2,1024,1024,4,9,0.2488934326171875
single_factor,2,1024,1024,5,9,0.24723455429077149
single_factor,2,1024,1024,6,9,0.2500812721252441
single_factor,2,1024,1024,7,9,0.24948736190795898
single_factor,2,1024,1024,8,9,0.25378816604614257
single_factor,2,1024,2048,0,9,0.22006784439086913
single_factor,2,1024,2048,1,9,0.18106367111206054
single_factor,2,1024,2048,2,9,0.17546239852905274
single_factor,2,1024,2048,3,9,0.17502208709716796
single_factor,2,1024,2048,4,9,0.17723392486572265
single_factor,2,1024,2048,5,9,0.1779916763305664
single_factor,2,1024,2048,6,9,0.17929216384887695
single_factor,2,1024,2048,7,9,0.18088960647583008
single_factor,2,1024,2048,8,9,0.18149375915527344
single_factor,2,1024,4096,0,9,0.33993728637695314
single_factor,2,1024,4096,1,9,0.35769344329833985
single_factor,2,1024,4096,2,9,0.35785728454589844
single_factor,2,1024,4096,3,9,0.356044807434082
single_factor,2,1024,4096,4,9,0.35943424224853515
single_factor,2,1024,4096,5,9,0.35994625091552734
single_factor,2,1024,4096,6,9,0.35981311798095705
single_factor,2,1024,4096,7,9,0.3628134536743164
single_factor,2,1024,4096,8,9,0.36334590911865233
single_factor,2,2048,1,0,10,0.10186752319335937
single_factor,2,2048,1,1,10,0.12801024436950684
single_factor,2,2048,1,2,10,0.1277030372619629
single_factor,2,2048,1,3,10,0.12756992340087892
single_factor,2,2048,1,4,10,0.12790783882141113
single_factor,2,2048,1,5,10,0.12761088371276855
single_factor,2,2048,1,6,10,0.12691455841064453
single_factor,2,2048,1,7,10,0.12741632461547853
single_factor,2,2048,1,8,10,0.12718079566955567
single_factor,2,2048,1,9,10,0.12768256187438964
single_factor,2,2048,2,0,10,0.10590208053588868
single_factor,2,2048,2,1,10,0.12823552131652832
single_factor,2,2048,2,2,10,0.12771327972412108
single_factor,2,2048,2,3,10,0.12774399757385255
single_factor,2,2048,2,4,10,0.12716032028198243
single_factor,2,2048,2,5,10,0.12737536430358887
single_factor,2,2048,2,6,10,0.12761088371276855
single_factor,2,2048,2,7,10,0.12761088371276855
single_factor,2,2048,2,8,10,0.12760064125061035
single_factor,2,2048,2,9,10,0.12775424003601074
single_factor,2,2048,4,0,10,0.10587136268615722
single_factor,2,2048,4,1,10,0.12830719947814942
single_factor,2,2048,4,2,10,0.12826623916625976
single_factor,2,2048,4,3,10,0.1274060821533203
single_factor,2,2048,4,4,10,0.1278054428100586
single_factor,2,2048,4,5,10,0.12751872062683106
single_factor,2,2048,4,6,10,0.127324161529541
single_factor,2,2048,4,7,10,0.12836864471435547
single_factor,2,2048,4,8,10,0.1275391960144043
single_factor,2,2048,4,9,10,0.1278873634338379
single_factor,2,2048,8,0,10,0.10553343772888184
single_factor,2,2048,8,1,10,0.12791808128356932
single_factor,2,2048,8,2,10,0.1276416015625
