group,b,c,M,N,a,d,batch_size,triton_ms,bmm_ms,cuda_ms,cuda_error
group1,2,2,2048,2048,512,2,256,0.101381,0.129466,,
group1,2,2,2048,2048,512,2,512,0.101956,0.129532,,
group1,2,2,2048,2048,512,2,1024,0.102644,0.131037,,
group1,2,2,2048,2048,512,2,2048,0.159218,0.193525,,
group1,2,2,2048,2048,512,2,4096,0.310138,0.384096,,
group1,2,2,2048,2048,1024,1,2,0.101048,0.086802,,
group1,2,2,2048,2048,1024,1,4,0.101374,0.086669,,
group1,2,2,2048,2048,1024,1,8,0.101263,0.087137,,
group1,2,2,2048,2048,1024,1,16,0.100687,0.086731,,
group1,2,2,2048,2048,1024,1,32,0.101017,0.086824,,
group1,2,2,2048,2048,1024,1,64,0.101015,0.086927,,
group1,2,2,2048,2048,1024,1,128,0.101309,0.086958,,
group1,2,2,2048,2048,1024,1,256,0.101421,0.087300,,
group1,2,2,2048,2048,1024,1,512,0.101750,0.087012,,
group1,2,2,2048,2048,1024,1,1024,0.102604,0.087448,,
group1,2,2,2048,2048,1024,1,2048,0.157472,0.152507,,
group1,2,2,2048,2048,1024,1,4096,0.306625,0.303643,,
group1,2,2,4096,4096,1,2048,2,0.100718,0.134010,,
group1,2,2,4096,4096,1,2048,4,0.099896,0.134270,,
group1,2,2,4096,4096,1,2048,8,0.100821,0.134673,,
group1,2,2,4096,4096,1,2048,16,0.101008,0.134106,,
group1,2,2,4096,4096,1,2048,32,0.101234,0.134130,,
group1,2,2,4096,4096,1,2048,64,0.101183,0.134365,,
group1,2,2,4096,4096,1,2048,128,0.100844,0.134370,,
group1,2,2,4096,4096,1,2048,256,0.101573,0.134252,,
group1,2,2,4096,4096,1,2048,512,0.101973,0.135494,,
group1,2,2,4096,4096,1,2048,1024,0.158977,0.194433,,
group1,2,2,4096,4096,1,2048,2048,0.308326,0.383800,,
group1,2,2,4096,4096,1,2048,4096,0.610660,0.756555,,
group1,2,2,4096,4096,2,1024,2,0.100728,0.129697,,
group1,2,2,4096,4096,2,1024,4,0.101406,0.129796,,
group1,2,2,4096,4096,2,1024,8,0.101094,0.129301,,
group1,2,2,4096,4096,2,1024,16,0.101186,0.129337,,
group1,2,2,4096,4096,2,1024,32,0.101516,0.130168,,
group1,2,2,4096,4096,2,1024,64,0.100802,0.129767,,
group1,2,2,4096,4096,2,1024,128,0.100576,0.129809,,
