,patterns,batch-size,algo,mean,median,iqr,times,bs_position,precision,device_name
17375,"[[48, 64, 64, 16]]",25088,bmm,0.0355855068541131,0.0355855068541131,5.759765626862229e-05,"[0.035643104510381815, 0.035527909197844564]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17376,"[[48, 96, 96, 4]]",25088,bmm,0.0130386583623476,0.0130386583623476,6.426455220207711e-05,"[0.012974393810145557, 0.013102922914549708]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17377,"[[48, 96, 96, 16]]",25088,bmm,0.0536659762961789,0.0536659762961789,1.3480894267559052e-05,"[0.053679457190446554, 0.053652495401911436]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17378,"[[48, 96, 384, 4]]",25088,bmm,0.0421771732158958,0.0421771732158958,2.892049960791232e-05,"[0.04214825271628797, 0.04220609371550381]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17379,"[[48, 128, 128, 4]]",25088,bmm,0.0172766753123141,0.0172766753123141,2.347899135200088e-06,"[0.017279023211449383, 0.01727432741317898]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17380,"[[48, 192, 48, 4]]",25088,bmm,0.01534178230213,0.01534178230213,9.629188571124577e-06,"[0.015351411490701138, 0.015332153113558889]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17381,"[[48, 192, 192, 4]]",25088,bmm,0.0394514473387971,0.0394514473387971,0.000292143644765,"[0.03974359098356217, 0.03915930369403213]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17382,"[[48, 256, 256, 4]]",25088,bmm,0.0535250480519607,0.0535250480519607,4.831468686461449e-06,"[0.05352987952064723, 0.053520216583274306]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17383,"[[48, 384, 96, 4]]",25088,bmm,0.0374346023425459,0.0374346023425459,0.0001606039470061,"[0.03727399839553982, 0.03759520628955215]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17384,"[[48, 384, 384, 4]]",25088,bmm,0.1069464113309302,0.1068988661281764,0.0007428833050653,"[0.10713980300351977, 0.10595715208910406, 0.10711706499569118, 0.10741435294039547, 0.1059014790225774, 0.10793605213984847, 0.10679845791310072, 0.1063718341756612, 0.10669655515812337, 0.10817890707403421, 0.10689886612817645]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17385,"[[64, 48, 48, 4]]",25088,bmm,0.0090199538506567,0.0090199538506567,5.759531632055365e-07,"[0.009020529803819954, 0.009019377897493542]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17386,"[[64, 48, 48, 16]]",25088,bmm,0.0367800795589573,0.0367800795589573,1.711106160656034e-05,"[0.03679719062056393, 0.03676296849735081]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
