patterns,batch-size,algo,mean,median,iqr,times,bs_position,precision,device_name
"[[1, 128, 128, 12]]",25088,dense,0.000702171,0.000702171,0,[0.0007021708413958549],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 128, 16]]",25088,dense,0.001166386,0.001166386,0,[0.0011663858778774739],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 128, 24]]",25088,dense,0.002466639,0.002466639,0,[0.0024666387401521207],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 128, 32]]",25088,dense,0.004672322,0.004672322,0,[0.004672322124242782],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 128, 48]]",25088,dense,0.008901403,0.008901403,5.31E-06,"[0.008896088413894176, 0.008906716853380204]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 128, 64]]",25088,dense,0.016016871,0.016016871,0.000102625,"[0.01591424662619829, 0.016119495779275895]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 128, 96]]",25088,dense,0.037120854,0.037120854,0.00109053,"[0.03603032361716032, 0.03821138348430395]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 128, 128]]",25088,dense,0.064912776,0.063626599,0.001329447,"[0.06583202257752419, 0.06301923096179962, 0.06362659856677055, 0.06303862109780312, 0.0636329036206007, 0.06324017979204655, 0.06368618085980415, 0.06361912935972214, 0.06362073309719563, 0.07353509217500687, 0.06718984059989452]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 512, 2]]",25088,dense,8.21E-05,8.21E-05,0,[8.209912106394767e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 512, 3]]",25088,dense,0.00019643,0.00019643,0,[0.00019642965868115424],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 512, 4]]",25088,dense,0.000288754,0.000288754,0,[0.0002887539193034172],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 512, 6]]",25088,dense,0.00060579,0.00060579,0,[0.000605789553374052],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 512, 8]]",25088,dense,0.001091663,0.001091663,0,[0.0010916627012193202],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 512, 12]]",25088,dense,0.00223659,0.00223659,0,[0.0022365899197757245],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 512, 16]]",25088,dense,0.00405083,0.00405083,0,[0.004050829596817494],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 512, 24]]",25088,dense,0.009129375,0.009129375,4.05E-05,"[0.009088907204568387, 0.009169842302799224]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 512, 32]]",25088,dense,0.016178155,0.016178155,7.19E-05,"[0.016250088438391687, 0.016106221824884415]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 512, 48]]",25088,dense,0.037329967,0.037329967,0.000882805,"[0.03644716218113899, 0.03821277245879173]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 512, 64]]",25088,dense,0.067604121,0.067366393,0.004602293,"[0.06405628472566605, 0.06527016125619411, 0.0645709466189146, 0.06736639328300953, 0.06775554083287716, 0.07062700018286705, 0.06740284897387028, 0.07635828293859959, 0.0713973306119442, 0.06460700742900372, 0.06423353590071201]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 512, 96]]",25088,dense,0.178189763,0.170039292,0.011866176,"[0.16828207857906818, 0.22716658376157284, 0.1792339440435171, 0.17051462084054947, 0.16967934370040894, 0.1679245252162218, 0.18308849446475506, 0.18556842394173145, 0.17003929242491722, 0.1689574457705021, 0.16963264159858227]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 128, 512, 128]]",25088,dense,0.309177711,0.30448715,0.015068756,"[0.31708914414048195, 0.30274738371372223, 0.30222412198781967, 0.32150844670832157, 0.3013055343180895, 0.30193411372601986, 0.32087205722928047, 0.3044871501624584, 0.30171150527894497, 0.3172066044062376, 0.3098687566816807]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 48, 2]]",25088,dense,4.90E-05,4.90E-05,0,[4.8966314643621445e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 48, 3]]",25088,dense,7.10E-05,7.10E-05,0,[7.097378373146058e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 48, 4]]",25088,dense,8.54E-05,8.54E-05,0,[8.53719376027584e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 48, 6]]",25088,dense,0.000104498,0.000104498,0,[0.0001044975034892559],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 48, 8]]",25088,dense,0.000178986,0.000178986,0,[0.00017898639664053916],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 48, 12]]",25088,dense,0.000383306,0.000383306,0,[0.00038330638781189916],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 48, 16]]",25088,dense,0.000668253,0.000668253,0,[0.0006682527251541615],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 48, 24]]",25088,dense,0.001643918,0.001643918,0,[0.0016439182497560978],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 48, 32]]",25088,dense,0.002772424,0.002772424,0,[0.0027724242210388182],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 48, 48]]",25088,dense,0.005994888,0.005994888,2.26E-06,"[0.005997150577604771, 0.005992626398801803]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 48, 64]]",25088,dense,0.010454145,0.010454145,1.05E-06,"[0.010455192439258099, 0.010453098267316819]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 48, 96]]",25088,dense,0.020286424,0.020286424,1.57E-05,"[0.02027069088071585, 0.02030215673148632]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 48, 128]]",25088,dense,0.036721625,0.036721625,0.000604391,"[0.036117234453558925, 0.03732601571828127]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 192, 2]]",25088,dense,7.98E-05,7.98E-05,0,[7.980756461620331e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 192, 3]]",25088,dense,0.000111893,0.000111893,0,[0.00011189315468072891],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 192, 4]]",25088,dense,0.000166562,0.000166562,0,[0.00016656188294291496],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 192, 6]]",25088,dense,0.000361097,0.000361097,0,[0.00036109667271375654],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 192, 8]]",25088,dense,0.000692575,0.000692575,0,[0.0006925747357308864],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 192, 12]]",25088,dense,0.001446517,0.001446517,0,[0.0014465167373418808],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 192, 16]]",25088,dense,0.002464625,0.002464625,0,[0.0024646254256367683],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 192, 24]]",25088,dense,0.005050255,0.005050255,3.54E-05,"[0.005085679143667221, 0.0050148312002420425]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 192, 32]]",25088,dense,0.008901376,0.008901376,6.64E-05,"[0.008835013210773467, 0.008967738598585129]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 192, 48]]",25088,dense,0.020138883,0.020138883,2.08E-05,"[0.020159653574228286, 0.020118112117052077]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 192, 64]]",25088,dense,0.037158164,0.037158164,4.24E-05,"[0.0372005432844162, 0.03711578380316496]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 192, 96]]",25088,dense,0.083022725,0.082294729,0.003664192,"[0.0828738734126091, 0.08012356236577034, 0.08010597713291645, 0.08010176010429859, 0.0804688036441803, 0.08392737433314323, 0.09109370782971382, 0.08688042871654034, 0.08399337530136108, 0.08229472860693932, 0.08138638362288475]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 192, 128]]",25088,dense,0.156636,0.15728893,0.002452308,"[0.15561754256486893, 0.15554237738251686, 0.155116880312562, 0.15454297326505184, 0.15346696600317955, 0.15822511352598667, 0.15787930972874165, 0.15778059884905815, 0.15753118135035038, 0.15704667940735817, 0.15791531465947628, 0.1589670591056347]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 768, 2]]",25088,dense,0.000209252,0.000209252,0,[0.00020925212651491166],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 768, 3]]",25088,dense,0.00039334,0.00039334,0,[0.0003933404386043549],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 768, 4]]",25088,dense,0.000603936,0.000603936,0,[0.0006039361469447613],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 768, 6]]",25088,dense,0.00189994,0.00189994,0,[0.001899939700961113],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 768, 8]]",25088,dense,0.002229896,0.002229896,0,[0.002229895554482937],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 768, 12]]",25088,dense,0.005870891,0.005870891,0,[0.005870891213417054],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 768, 16]]",25088,dense,0.0089225,0.0089225,1.04E-06,"[0.008923537284135818, 0.00892146211117506]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 768, 24]]",25088,dense,0.020181809,0.020181809,6.27E-07,"[0.020182435773313044, 0.020181181840598583]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 768, 32]]",25088,dense,0.037118791,0.037118791,0.0006108,"[0.0377295907586813, 0.036507990956306455]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 768, 48]]",25088,dense,0.084520581,0.084219545,0.002975678,"[0.0887331422418356, 0.086139727383852, 0.08419478498399258, 0.0848881397396326, 0.08284847065806389, 0.08860816992819309, 0.0842195451259613, 0.0822280403226614, 0.08117805235087872, 0.08482710644602776, 0.08186121471226215]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 768, 64]]",25088,dense,0.175397379,0.170766536,0.004734694,"[0.17076653614640236, 0.21510269865393639, 0.17206129617989063, 0.16744307056069374, 0.16777081787586212, 0.16776647605001926, 0.17344087734818459, 0.18474451638758183, 0.172559704631567, 0.16895479895174503, 0.1687603760510683]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 768, 96]]",25088,dense,0.389317031,0.389109615,0.012718734,"[0.376486849039793, 0.39452378265559673, 0.39052914083004, 0.37979957833886147, 0.4030257500708103, 0.38266900554299355, 0.38910961523652077, 0.3969267997890711, 0.38334410823881626, 0.3977461401373148, 0.38832657411694527]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 192, 768, 128]]",25088,dense,0.707078671,0.709013879,0.007099568,"[0.6898885425180197, 0.7086133677512407, 0.7086018119007349, 0.7035400308668613, 0.7036762498319149, 0.7111975625157356, 0.7094143908470869, 0.7032356318086386, 0.7144104912877083, 0.7115309033542871, 0.7102452386170626, 0.7105898298323154]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 64, 2]]",25088,dense,6.69E-05,6.69E-05,0,[6.690245121717454e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 64, 3]]",25088,dense,8.11E-05,8.11E-05,0,[8.107353001832961e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 64, 4]]",25088,dense,0.000127848,0.000127848,0,[0.00012784827500581742],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 64, 6]]",25088,dense,0.000183498,0.000183498,0,[0.0001834978349506855],bs_first,fp16,NVIDIA_A100-PCIE-40GB
