patterns,batch-size,algo,mean,median,iqr,times,bs_position,precision,device_name
"[[1, 512, 512, 12]]",25088,kernel,0.005358132,0.005358132,3.77E-05,"[0.0053204337134957315, 0.005395829677581787]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 512, 512, 16]]",25088,kernel,0.007305646,0.007305646,1.68E-06,"[0.007307327538728714, 0.007303963601589203]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 512, 512, 24]]",25088,kernel,0.010786573,0.010786573,4.06E-05,"[0.010827175155282021, 0.010745971836149693]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 512, 512, 32]]",25088,kernel,0.014792276,0.014792276,7.34E-06,"[0.014784931391477584, 0.014799621142446994]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 512, 512, 48]]",25088,kernel,0.023069919,0.023069919,5.90E-07,"[0.02306932881474495, 0.023070509359240533]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 512, 512, 64]]",25088,kernel,0.031800644,0.031800644,0.000450483,"[0.03135016113519669, 0.032251127250492576]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 512, 512, 96]]",25088,kernel,0.048024129,0.048024129,0.000463288,"[0.04848741628229618, 0.04756084103137255]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 512, 512, 128]]",25088,kernel,0.063660242,0.063660242,0.000205206,"[0.06345503591001034, 0.0638654487207532]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 192, 2]]",25088,kernel,0.000604066,0.000604066,0,[0.0006040655262768269],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 192, 3]]",25088,kernel,0.000887837,0.000887837,0,[0.0008878367580473423],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 192, 4]]",25088,kernel,0.001179279,0.001179279,0,[0.001179279275238514],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 192, 6]]",25088,kernel,0.001806212,0.001806212,5.22E-05,"[0.001858372800052166, 0.0017540512792766094]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 192, 8]]",25088,kernel,0.002368197,0.002368197,0,[0.0023681971617043017],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 192, 12]]",25088,kernel,0.003502036,0.003502036,0,[0.003502035513520241],bs_last,fp16,NVIDIA_A100-PCIE-40GB
