group,N,n,batch_size,stage,a,b,c,d,stage_triton_ms,stage_bmm_ms,total_chain_triton_ms,total_chain_bmm_ms
group2,1024,10,8,9,1,2,2,512,0.085190,0.105756,,
group2,1024,10,16,0,512,2,2,1,0.086567,0.065841,0.897797,1.048581
group2,1024,10,16,1,256,2,2,2,0.086375,0.103459,,
group2,1024,10,16,2,128,2,2,4,0.085859,0.103775,,
group2,1024,10,16,3,64,2,2,8,0.085585,0.103452,,
group2,1024,10,16,4,32,2,2,16,0.086405,0.103451,,
group2,1024,10,16,5,16,2,2,32,0.085981,0.103192,,
group2,1024,10,16,6,8,2,2,64,0.086244,0.103443,,
group2,1024,10,16,7,4,2,2,128,0.086477,0.102995,,
group2,1024,10,16,8,2,2,2,256,0.086334,0.103403,,
group2,1024,10,16,9,1,2,2,512,0.085791,0.106237,,
group2,1024,10,32,0,512,2,2,1,0.087125,0.066169,0.894666,1.049480
group2,1024,10,32,1,256,2,2,2,0.087196,0.103834,,
group2,1024,10,32,2,128,2,2,4,0.086714,0.103767,,
group2,1024,10,32,3,64,2,2,8,0.086340,0.103472,,
group2,1024,10,32,4,32,2,2,16,0.086456,0.103181,,
group2,1024,10,32,5,16,2,2,32,0.086108,0.102771,,
group2,1024,10,32,6,8,2,2,64,0.086521,0.103433,,
group2,1024,10,32,7,4,2,2,128,0.086313,0.103133,,
group2,1024,10,32,8,2,2,2,256,0.086628,0.103328,,
group2,1024,10,32,9,1,2,2,512,0.086402,0.106434,,
group2,1024,10,64,0,512,2,2,1,0.086939,0.066017,0.901212,1.049001
group2,1024,10,64,1,256,2,2,2,0.086982,0.103719,,
group2,1024,10,64,2,128,2,2,4,0.086321,0.104011,,
group2,1024,10,64,3,64,2,2,8,0.085993,0.103705,,
group2,1024,10,64,4,32,2,2,16,0.086708,0.103733,,
group2,1024,10,64,5,16,2,2,32,0.086055,0.103585,,
group2,1024,10,64,6,8,2,2,64,0.086278,0.103366,,
group2,1024,10,64,7,4,2,2,128,0.086238,0.103042,,
group2,1024,10,64,8,2,2,2,256,0.086318,0.103369,,
group2,1024,10,64,9,1,2,2,512,0.086177,0.106586,,
group2,1024,10,128,0,512,2,2,1,0.086368,0.066149,0.901962,1.058985
group2,1024,10,128,1,256,2,2,2,0.086280,0.105093,,
group2,1024,10,128,2,128,2,2,4,0.086349,0.104810,,
group2,1024,10,128,3,64,2,2,8,0.085873,0.104510,,
group2,1024,10,128,4,32,2,2,16,0.086255,0.104677,,
group2,1024,10,128,5,16,2,2,32,0.085947,0.105092,,
group2,1024,10,128,6,8,2,2,64,0.086227,0.104635,,
group2,1024,10,128,7,4,2,2,128,0.086027,0.104824,,
group2,1024,10,128,8,2,2,2,256,0.086143,0.104932,,
group2,1024,10,128,9,1,2,2,512,0.085717,0.108415,,
group2,1024,10,256,0,512,2,2,1,0.086818,0.065359,0.909059,1.061314
group2,1024,10,256,1,256,2,2,2,0.086786,0.104422,,
group2,1024,10,256,2,128,2,2,4,0.086370,0.104446,,
group2,1024,10,256,3,64,2,2,8,0.086685,0.104100,,
group2,1024,10,256,4,32,2,2,16,0.086448,0.104158,,
group2,1024,10,256,5,16,2,2,32,0.086753,0.103969,,
group2,1024,10,256,6,8,2,2,64,0.086306,0.104267,,
group2,1024,10,256,7,4,2,2,128,0.086663,0.104144,,
group2,1024,10,256,8,2,2,2,256,0.086364,0.104167,,
group2,1024,10,256,9,1,2,2,512,0.086400,0.108150,,
group2,1024,10,512,0,512,2,2,1,0.087126,0.066468,0.904788,1.068110
group2,1024,10,512,1,256,2,2,2,0.086724,0.105745,,
group2,1024,10,512,2,128,2,2,4,0.086862,0.105681,,
group2,1024,10,512,3,64,2,2,8,0.086539,0.105230,,
group2,1024,10,512,4,32,2,2,16,0.087070,0.105517,,
group2,1024,10,512,5,16,2,2,32,0.086460,0.105305,,
group2,1024,10,512,6,8,2,2,64,0.086711,0.105413,,
group2,1024,10,512,7,4,2,2,128,0.086267,0.105285,,
group2,1024,10,512,8,2,2,2,256,0.086482,0.105511,,
