group,N,n,batch_size,stage,a,b,c,d,stage_triton_ms,total_chain_triton_ms
group2,1024,10,16,9,1,2,2,512,0.037564,
group2,1024,10,32,0,512,2,2,1,0.037910,0.385583
group2,1024,10,32,1,256,2,2,2,0.037554,
group2,1024,10,32,2,128,2,2,4,0.037510,
group2,1024,10,32,3,64,2,2,8,0.038068,
group2,1024,10,32,4,32,2,2,16,0.038375,
group2,1024,10,32,5,16,2,2,32,0.038318,
group2,1024,10,32,6,8,2,2,64,0.038234,
group2,1024,10,32,7,4,2,2,128,0.038240,
group2,1024,10,32,8,2,2,2,256,0.038088,
group2,1024,10,32,9,1,2,2,512,0.037425,
group2,1024,10,64,0,512,2,2,1,0.038174,0.390464
group2,1024,10,64,1,256,2,2,2,0.037567,
group2,1024,10,64,2,128,2,2,4,0.038054,
group2,1024,10,64,3,64,2,2,8,0.037696,
group2,1024,10,64,4,32,2,2,16,0.038066,
group2,1024,10,64,5,16,2,2,32,0.037850,
group2,1024,10,64,6,8,2,2,64,0.038214,
group2,1024,10,64,7,4,2,2,128,0.037732,
group2,1024,10,64,8,2,2,2,256,0.038117,
group2,1024,10,64,9,1,2,2,512,0.037752,
group2,1024,10,128,0,512,2,2,1,0.037962,0.390034
group2,1024,10,128,1,256,2,2,2,0.037738,
group2,1024,10,128,2,128,2,2,4,0.037839,
group2,1024,10,128,3,64,2,2,8,0.037892,
group2,1024,10,128,4,32,2,2,16,0.037686,
group2,1024,10,128,5,16,2,2,32,0.037944,
group2,1024,10,128,6,8,2,2,64,0.037948,
group2,1024,10,128,7,4,2,2,128,0.038056,
group2,1024,10,128,8,2,2,2,256,0.038041,
group2,1024,10,128,9,1,2,2,512,0.038257,
group2,1024,10,256,0,512,2,2,1,0.038330,0.386025
group2,1024,10,256,1,256,2,2,2,0.037486,
group2,1024,10,256,2,128,2,2,4,0.037747,
group2,1024,10,256,3,64,2,2,8,0.037876,
group2,1024,10,256,4,32,2,2,16,0.037808,
group2,1024,10,256,5,16,2,2,32,0.037901,
group2,1024,10,256,6,8,2,2,64,0.037868,
group2,1024,10,256,7,4,2,2,128,0.037527,
group2,1024,10,256,8,2,2,2,256,0.037713,
group2,1024,10,256,9,1,2,2,512,0.037511,
group2,1024,10,512,0,512,2,2,1,0.038351,0.389436
group2,1024,10,512,1,256,2,2,2,0.038514,
group2,1024,10,512,2,128,2,2,4,0.040953,
group2,1024,10,512,3,64,2,2,8,0.038781,
group2,1024,10,512,4,32,2,2,16,0.037971,
group2,1024,10,512,5,16,2,2,32,0.037989,
group2,1024,10,512,6,8,2,2,64,0.037845,
group2,1024,10,512,7,4,2,2,128,0.038414,
group2,1024,10,512,8,2,2,2,256,0.037828,
group2,1024,10,512,9,1,2,2,512,0.037977,
group2,1024,10,1024,0,512,2,2,1,0.050411,0.523046
group2,1024,10,1024,1,256,2,2,2,0.050778,
group2,1024,10,1024,2,128,2,2,4,0.050766,
group2,1024,10,1024,3,64,2,2,8,0.050776,
group2,1024,10,1024,4,32,2,2,16,0.050746,
group2,1024,10,1024,5,16,2,2,32,0.050781,
group2,1024,10,1024,6,8,2,2,64,0.050756,
group2,1024,10,1024,7,4,2,2,128,0.050795,
group2,1024,10,1024,8,2,2,2,256,0.050778,
group2,1024,10,1024,9,1,2,2,512,0.050768,
group2,1024,10,2048,0,512,2,2,1,0.083867,0.869773
group2,1024,10,2048,1,256,2,2,2,0.084657,
group2,1024,10,2048,2,128,2,2,4,0.085193,
group2,1024,10,2048,3,64,2,2,8,0.085267,
group2,1024,10,2048,4,32,2,2,16,0.085268,
group2,1024,10,2048,5,16,2,2,32,0.085257,
group2,1024,10,2048,6,8,2,2,64,0.085225,
group2,1024,10,2048,7,4,2,2,128,0.085294,
group2,1024,10,2048,8,2,2,2,256,0.085238,
group2,1024,10,2048,9,1,2,2,512,0.085342,
group2,1024,10,4096,0,512,2,2,1,0.157781,1.613608
group2,1024,10,4096,1,256,2,2,2,0.159256,
group2,1024,10,4096,2,128,2,2,4,0.159236,
group2,1024,10,4096,3,64,2,2,8,0.159528,
group2,1024,10,4096,4,32,2,2,16,0.159523,
group2,1024,10,4096,5,16,2,2,32,0.159495,
group2,1024,10,4096,6,8,2,2,64,0.159540,
group2,1024,10,4096,7,4,2,2,128,0.159516,
group2,1024,10,4096,8,2,2,2,256,0.159534,
group2,1024,10,4096,9,1,2,2,512,0.159602,
group2,2048,11,2,0,1024,2,2,1,0.037718,0.426183
group2,2048,11,2,1,512,2,2,2,0.037987,
group2,2048,11,2,2,256,2,2,4,0.038317,
group2,2048,11,2,3,128,2,2,8,0.037173,
group2,2048,11,2,4,64,2,2,16,0.038080,
group2,2048,11,2,5,32,2,2,32,0.037648,
group2,2048,11,2,6,16,2,2,64,0.038085,
group2,2048,11,2,7,8,2,2,128,0.037242,
group2,2048,11,2,8,4,2,2,256,0.037556,
group2,2048,11,2,9,2,2,2,512,0.037556,
group2,2048,11,2,10,1,2,2,1024,0.038088,
group2,2048,11,4,0,1024,2,2,1,0.037471,0.426822
group2,2048,11,4,1,512,2,2,2,0.037637,
group2,2048,11,4,2,256,2,2,4,0.037743,
group2,2048,11,4,3,128,2,2,8,0.037310,
group2,2048,11,4,4,64,2,2,16,0.037784,
group2,2048,11,4,5,32,2,2,32,0.037419,
group2,2048,11,4,6,16,2,2,64,0.037456,
group2,2048,11,4,7,8,2,2,128,0.037230,
group2,2048,11,4,8,4,2,2,256,0.037403,
group2,2048,11,4,9,2,2,2,512,0.037384,
group2,2048,11,4,10,1,2,2,1024,0.037337,
group2,2048,11,8,0,1024,2,2,1,0.037345,0.424874
group2,2048,11,8,1,512,2,2,2,0.037571,
group2,2048,11,8,2,256,2,2,4,0.037462,
group2,2048,11,8,3,128,2,2,8,0.037547,
group2,2048,11,8,4,64,2,2,16,0.037331,
group2,2048,11,8,5,32,2,2,32,0.037370,
group2,2048,11,8,6,16,2,2,64,0.037527,
group2,2048,11,8,7,8,2,2,128,0.037251,
group2,2048,11,8,8,4,2,2,256,0.037377,
group2,2048,11,8,9,2,2,2,512,0.037471,
group2,2048,11,8,10,1,2,2,1024,0.037573,
group2,2048,11,16,0,1024,2,2,1,0.037602,0.422128
group2,2048,11,16,1,512,2,2,2,0.037643,
group2,2048,11,16,2,256,2,2,4,0.037594,
group2,2048,11,16,3,128,2,2,8,0.037017,
group2,2048,11,16,4,64,2,2,16,0.037768,
group2,2048,11,16,5,32,2,2,32,0.037039,
group2,2048,11,16,6,16,2,2,64,0.037827,
group2,2048,11,16,7,8,2,2,128,0.037211,
group2,2048,11,16,8,4,2,2,256,0.037390,
group2,2048,11,16,9,2,2,2,512,0.037283,
group2,2048,11,16,10,1,2,2,1024,0.037682,
group2,2048,11,32,0,1024,2,2,1,0.037956,0.423913
group2,2048,11,32,1,512,2,2,2,0.037863,
group2,2048,11,32,2,256,2,2,4,0.037850,
group2,2048,11,32,3,128,2,2,8,0.037243,
group2,2048,11,32,4,64,2,2,16,0.038459,
group2,2048,11,32,5,32,2,2,32,0.038014,
group2,2048,11,32,6,16,2,2,64,0.038395,
group2,2048,11,32,7,8,2,2,128,0.037897,
group2,2048,11,32,8,4,2,2,256,0.038253,
group2,2048,11,32,9,2,2,2,512,0.037798,
group2,2048,11,32,10,1,2,2,1024,0.037723,
group2,2048,11,64,0,1024,2,2,1,0.038257,0.431117
group2,2048,11,64,1,512,2,2,2,0.037968,
group2,2048,11,64,2,256,2,2,4,0.037800,
group2,2048,11,64,3,128,2,2,8,0.037650,
group2,2048,11,64,4,64,2,2,16,0.037789,
group2,2048,11,64,5,32,2,2,32,0.037780,
group2,2048,11,64,6,16,2,2,64,0.037920,
